id,title,year,image_url,description_gal,description_esp,description_en,order
obra1,b s b,2024,images/branco_sobre_branco.webp,Descrición da obra b s b en galego. Obra escultórica que explora a relación entre o branco e o espazo.,Descripción de la obra b s b en español. Obra escultórica que explora la relación entre el blanco y el espacio.,Work description b s b in English. Sculptural work that explores the relationship between white and space.,1
obra2,masa para empanada,2024,images/masa_para_empanada.webp,Descrición da obra masa para empanada en galego. Instalación que cuestiona os límites entre arte e cociña.,Descripción de la obra masa para empanada en español. Instalación que cuestiona los límites entre arte y cocina.,Work description empanada dough in English. Installation that questions the boundaries between art and cooking.,2
obra3,moas do xuizo,2025,images/moas_do_xuizo.webp,Descrición da obra moas do xuizo en galego. Performance que explora a xustiza e os seus restos.,Descripción de la obra moas do xuizo en español. Performance que explora la justicia y sus restos.,Work description judge's crumbs in English. Performance that explores justice and its remains.,3
obra4,´* ˙ ˚ ° ˚,2024,images/=.webp,Descrición da obra ´* ˙ ˚ ° ˚ en galego. Obra conceptual sobre símbolos e signos.,Descripción de la obra ´* ˙ ˚ ° ˚ en español. Obra conceptual sobre símbolos y signos.,Work description ´* ˙ ˚ ° ˚ in English. Conceptual work about symbols and signs.,4
obra5,xesto materia,2024,images/xesto_materia.webp,Descrición da obra xesto materia en galego. Explora a materialidade do xesto.,Descripción de la obra xesto materia en español. Explora la materialidad del gesto.,Work description xesto materia in English. Explores the materiality of gesture.,5
obra6,acción de prensión,2024,images/accion_de_prension.webp,Descrición da obra acción de prensión en galego. Performance sobre o acto de prender.,Descripción de la obra acción de prensión en español. Performance sobre el acto de prender.,Work description action of grasping in English. Performance about the act of grasping.,6
obra7,c/ Ana Gesto,2022,images/c_ana_gesto.webp,Descrición da obra c/ Ana Gesto en galego. Colaboración con Ana Gesto.,Descripción de la obra c/ Ana Gesto en español. Colaboración con Ana Gesto.,Work description c/ Ana Gesto in English. Collaboration with Ana Gesto.,7
obra8,desvelado de imaxe,2022,images/desvelar_a_imaxe.webp,Descrición da obra desvelado de imaxe en galego. Sobre o proceso de revelar imaxes.,Descripción de la obra desvelado de imaxe en español. Sobre el proceso de revelar imágenes.,Work description image unveiling in English. About the process of revealing images.,8
obra9,acción - inacción,2022,images/accion_inaccion.webp,Descrición da obra acción - inacción en galego. Explora a tensión entre facer e non facer.,Descripción de la obra acción - inacción en español. Explora la tensión entre hacer y no hacer.,Work description action - inaction in English. Explores the tension between doing and not doing.,9
obra10,velados,2025,images/velados.webp,Descrición da obra velados en galego. Sobre o que está cuberto e o que se revela.,Descripción de la obra velados en español. Sobre lo que está cubierto y lo que se revela.,Work description veiled in English. About what is covered and what is revealed.,10
obra11,tempo do obxecto,2024,images/percorrido_do_obxecto.webp,Descrición da obra tempo do obxecto en galego. Sobre o tempo dos obxectos.,Descripción de la obra tempo do obxecto en español. Sobre el tiempo de los objetos.,Work description object time in English. About the time of objects.,11
obra12,abrir o oco,2024,images/accion_inaccion_abrir_o_oco.webp,Descrición da obra abrir o oco en galego. Sobre abrir espazos e posibilidades.,Descripción de la obra abrir o oco en español. Sobre abrir espacios y posibilidades.,Work description opening the gap in English. About opening spaces and possibilities.,12
obra13,.,2024,images/I.webp,Descrición da obra . en galego. Obra minimalista sobre o punto.,Descripción de la obra . en español. Obra minimalista sobre el punto.,Work description . in English. Minimalist work about the point.,13
obra14,montanha de cemento,2024,images/montanha_de_cemento.webp,Descrición da obra montanha de cemento en galego. Instalación sobre a construción.,Descripción de la obra montanha de cemento en español. Instalación sobre la construcción.,Work description cement mountain in English. Installation about construction.,14
obra15,p,2024,images/p.webp,Descrición da obra p en galego. Obra conceptual sobre a letra p.,Descripción de la obra p en español. Obra conceptual sobre la letra p.,Work description p in English. Conceptual work about the letter p.,15
obra16,vrlux,2024,images/vrlux.webp,Descrición da obra vrlux en galego. Obra sobre a luz e a percepción.,Descripción de la obra vrlux en español. Obra sobre la luz y la percepción.,Work description vrlux in English. Work about light and perception.,16
obra17,instalacions,2023,images/instalacions.webp,Descrición da obra instalacions en galego. Serie de instalacións.,Descripción de la obra instalacions en español. Serie de instalaciones.,Work description installations in English. Series of installations.,17
