id,title_gal,title_esp,title_en,year,image_url,description_gal,description_esp
obra1,b s b,b s b,b s b,2024,images/branco_sobre_branco.webp,Descrición da obra b s b en galego. Obra escultórica que explora a relación entre o branco e o espazo.,Descripción de la obra b s b en español. Obra escultórica que explora la relación entre el blanco y el espacio.
obra2,masa para empanada,masa para empanada,empanada dough,2024,images/masa_para_empanada.webp,Descrición da obra masa para empanada en galego. Instalación que cuestiona os límites entre arte e cociña.,Descripción de la obra masa para empanada en español. Instalación que cuestiona los límites entre arte y cocina.
obra3,moas do xuizo,moas do xuizo,judge's crumbs,2025,images/moas_do_xuizo.webp,Descrición da obra moas do xuizo en galego. Performance que explora a xustiza e os seus restos.,Descripción de la obra moas do xuizo en español. Performance que explora la justicia y sus restos.
obra4,´* ˙ ˚ ° ˚,´* ˙ ˚ ° ˚,´* ˙ ˚ ° ˚,2024,images/=.webp,Descrición da obra ´* ˙ ˚ ° ˚ en galego. Obra conceptual sobre a notación musical e visual.,Descripción de la obra ´* ˙ ˚ ° ˚ en español. Obra conceptual sobre la notación musical y visual.
obra5,xesto materia,xesto materia,gesture matter,2024,images/xesto_materia.webp,Descrición da obra xesto materia en galego. Escultura que materializa o movemento e o xesto.,Descripción de la obra xesto materia en español. Escultura que materializa el movimiento y el gesto.
obra6,acción de prensión,acción de prensión,grasping action,2024,images/accion_de_prension.webp,Descrición da obra acción de prensión en galego. Performance sobre o acto de agarrar e soltar.,Descripción de la obra acción de prensión en español. Performance sobre el acto de agarrar y soltar.
obra7,c/ Ana Gesto,c/ Ana Gesto,with Ana Gesto,2022,images/c_ana_gesto.webp,Descrición da obra c/ Ana Gesto en galego. Colaboración artística con Ana Gesto.,Descripción de la obra c/ Ana Gesto en español. Colaboración artística con Ana Gesto.
obra8,desvelado de imaxe,desvelado de imaxe,image unveiling,2022,images/desvelar_a_imaxe.webp,Descrición da obra desvelado de imaxe en galego. Proceso de revelación visual.,Descripción de la obra desvelado de imaxe en español. Proceso de revelación visual.
obra9,acción - inacción,acción - inacción,action - inaction,2022,images/accion_inaccion.webp,Descrición da obra acción - inacción en galego. Performance sobre a dualidade do movemento.,Descripción de la obra acción - inacción en español. Performance sobre la dualidad del movimiento.
obra10,velados,velados,veiled,2025,images/velados.webp,Descrición da obra velados en galego. Serie sobre o ocultamento e a revelación.,Descripción de la obra velados en español. Serie sobre el ocultamiento y la revelación.
